Neighborhood,Year,Median_Monthly_Rent
Greenpoint_and_Williamsburg,2005,959.29
Greenpoint_and_Williamsburg,2006,913.92
Greenpoint_and_Williamsburg,2007,1090.19
Greenpoint_and_Williamsburg,2008,1035.58
Greenpoint_and_Williamsburg,2009,1145.51
Greenpoint_and_Williamsburg,2010,1144.54
Greenpoint_and_Williamsburg,2011,1290.69
Greenpoint_and_Williamsburg,2012,1364.32
Greenpoint_and_Williamsburg,2013,1300.44
Greenpoint_and_Williamsburg,2014,1576.05
Greenpoint_and_Williamsburg,2015,1625.13
Greenpoint_and_Williamsburg,2016,1739.74
Greenpoint_and_Williamsburg,2017,1931.52
Greenpoint_and_Williamsburg,2018,1823.45
Greenpoint_and_Williamsburg,2019,1914.00
